Mode,N,M,K,PartitionType,TimeMs,Operations,Run
Sequential,10,1,1,None,0.0537,10,1
Sequential,10,1,1,None,0.0006,10,2
Sequential,10,1,1,None,0.0001,10,3
Sequential,10,1,10,None,0.0006,100,1
Sequential,10,1,10,None,0.0006,100,2
Sequential,10,1,10,None,0.0005,100,3
Sequential,10,1,100,None,0.0057,1000,1
Sequential,10,1,100,None,0.0057,1000,2
Sequential,10,1,100,None,0.006,1000,3
Sequential,100,1,1,None,0.0013,100,1
Sequential,100,1,1,None,0.0011,100,2
Sequential,100,1,1,None,0.0012,100,3
Sequential,100,1,10,None,0.0073,1000,1
Sequential,100,1,10,None,0.0073,1000,2
Sequential,100,1,10,None,0.0073,1000,3
Sequential,100,1,100,None,0.0589,10000,1
Sequential,100,1,100,None,0.0651,10000,2
Sequential,100,1,100,None,0.0716,10000,3
Sequential,1000,1,1,None,0.0106,1000,1
Sequential,1000,1,1,None,0.0104,1000,2
Sequential,1000,1,1,None,0.0103,1000,3
Sequential,1000,1,10,None,0.0657,10000,1
Sequential,1000,1,10,None,0.0657,10000,2
Sequential,1000,1,10,None,0.0657,10000,3
Sequential,1000,1,100,None,0.6704,100000,1
Sequential,1000,1,100,None,0.6546,100000,2
Sequential,1000,1,100,None,0.6594,100000,3
Sequential,100000,1,1,None,1.0887,100000,1
Sequential,100000,1,1,None,1.0424,100000,2
Sequential,100000,1,1,None,1.0815,100000,3
Sequential,100000,1,10,None,14.4546,1000000,1
Sequential,100000,1,10,None,8.0949,1000000,2
Sequential,100000,1,10,None,6.2535,1000000,3
Sequential,100000,1,100,None,60.499,10000000,1
Sequential,100000,1,100,None,60.8255,10000000,2
Sequential,100000,1,100,None,61.4793,10000000,3
Parallel,10,2,1,Range-Uniform,0.3307,10,1
Parallel,10,2,1,Range-Uniform,0.2052,10,2
Parallel,10,2,1,Range-Uniform,0.1512,10,3
Parallel,10,2,1,Circular-Uniform,0.1304,10,1
Parallel,10,2,1,Circular-Uniform,0.1166,10,2
Parallel,10,2,1,Circular-Uniform,0.1014,10,3
Parallel,10,2,1,Range-IndexDep,0.0847,10,1
Parallel,10,2,1,Range-IndexDep,0.0831,10,2
Parallel,10,2,1,Range-IndexDep,0.0839,10,3
Parallel,10,2,1,Circular-IndexDep,0.891,10,1
Parallel,10,2,1,Circular-IndexDep,0.0872,10,2
Parallel,10,2,1,Circular-IndexDep,0.1266,10,3
Parallel,10,2,10,Range-Uniform,0.1236,100,1
Parallel,10,2,10,Range-Uniform,0.101,100,2
Parallel,10,2,10,Range-Uniform,0.1063,100,3
Parallel,10,2,10,Circular-Uniform,0.1032,100,1
Parallel,10,2,10,Circular-Uniform,0.1402,100,2
Parallel,10,2,10,Circular-Uniform,0.1306,100,3
Parallel,10,2,10,Range-IndexDep,0.1326,55,1
Parallel,10,2,10,Range-IndexDep,0.1107,55,2
Parallel,10,2,10,Range-IndexDep,0.1255,55,3
Parallel,10,2,10,Circular-IndexDep,0.09,55,1
Parallel,10,2,10,Circular-IndexDep,0.0856,55,2
Parallel,10,2,10,Circular-IndexDep,0.2615,55,3
Parallel,10,2,100,Range-Uniform,0.219,1000,1
Parallel,10,2,100,Range-Uniform,0.097,1000,2
Parallel,10,2,100,Range-Uniform,0.1162,1000,3
Parallel,10,2,100,Circular-Uniform,0.1221,1000,1
Parallel,10,2,100,Circular-Uniform,0.1388,1000,2
Parallel,10,2,100,Circular-Uniform,0.1015,1000,3
Parallel,10,2,100,Range-IndexDep,0.065,55,1
Parallel,10,2,100,Range-IndexDep,0.0989,55,2
Parallel,10,2,100,Range-IndexDep,0.0884,55,3
Parallel,10,2,100,Circular-IndexDep,0.0874,55,1
Parallel,10,2,100,Circular-IndexDep,0.0653,55,2
Parallel,10,2,100,Circular-IndexDep,0.1001,55,3
Parallel,10,3,1,Range-Uniform,0.1275,10,1
Parallel,10,3,1,Range-Uniform,0.1135,10,2
Parallel,10,3,1,Range-Uniform,0.1074,10,3
